| time |   in   |load |shift|  out   |
| 0+   |      0 |  0  |  0  |      0 |
| 1    |      0 |  0  |  0  |      0 |
| 1+   |     33 |  1  |  0  |      0 |
| 2    |     33 |  1  |  0  |     33 |
| 2+   |     33 |  0  |  1  |     33 |
| 3    |     33 |  0  |  1  |     66 |
| 3+   |      1 |  0  |  0  |     66 |
| 4    |      1 |  0  |  0  |     66 |
| 4+   |     33 |  1  |  0  |     66 |
| 5    |     33 |  1  |  0  |     33 |
| 5+   |     33 |  1  |  0  |     33 |
| 6    |     33 |  1  |  0  |     33 |
| 6+   |     33 |  0  |  0  |     33 |
| 7    |     33 |  0  |  0  |     33 |
| 7+   |     15 |  1  |  0  |     33 |
| 8    |     15 |  1  |  0  |     15 |
| 8+   |     16 |  1  |  1  |     15 |
| 9    |     16 |  1  |  1  |     16 |
